OBJECTID;num_prov;prov;COD_DEPTO;ShapeSTArea;ShapeSTLength
1;501;BAJO CAUCA;5;889.057.527.506.396;594.509.455.474.629
2;502;MAGDALENA MEDIO;5;480.856.482.887.012;557.693.455.056.073
3;503;NORDESTE;5;86.369.568.970.708;664.310.866.027.831
4;504;NORTE;5;751.283.063.772.998;598.829.320.257.996
5;505;OCCIDENTE;5;752.218.887.713.281;561.498.347.199.168
6;506;ORIENTE;5;723.052.647.254.736;502.912.793.256.377
7;507;SUROESTE;5;667.142.300.972.998;615.542.739.363.377
8;508;URABÁ;5;118.437.217.902.593;12.784.874.989.442
9;509;VALLE DEL ABURRÁ;5;114.952.487.077.783;243.592.196.008.025
10;801;CENTRO ORIENTE;8;103.842.734.121.875;198.074.278.330.475
11;802;NORTE;8;503.149.882.427.734;124.033.358.848.521
12;803;OCCIDENTAL;8;736.861.170.255.859;167.556.379.698.441
13;804;SUR;8;118.244.737.471.387;20.747.727.585.423
14;1101;BOGOTÁ, D. C.;11;163.663.647.817.163;400.098.687.256.116
15;1301;DEPRESIÓN MOMPOSINA;13;189.943.746.800.244;320.698.395.814.219
16;1302;DIQUE BOLIVARENSE;13;342.790.622.277.441;510.585.832.105.502
17;1303;LOBA;13;260.919.141.984.912;434.130.331.217.947
18;1304;MAGDALENA MEDIO BOLIVARENSE;13;909.482.133.469.775;718.078.421.474.048
19;1305;MOJANA BOLIVARENSE;13;646.160.157.039.795;847.830.501.571.294
20;1306;MONTES DE MARÍA;13;397.689.663.653.369;416.379.837.247.418
21;1501;CENTRO;15;179.025.450.024.609;281.551.489.708.658
22;1502;GUTIÉRREZ;15;32.616.660.366.582;316.218.839.185.838
23;1503;LA LIBERTAD;15;190.091.213.453.125;278.833.412.296.478
24;1504;LENGUPÁ;15;13.476.194.005.957;201.962.696.353.455
25;1505;MÁRQUEZ;15;969.050.926.357.422;193.486.388.443.417
26;1506;NEIRA;15;14.017.173.900.271;263.281.884.831.835
27;1507;NORTE;15;114.665.316.254.736;226.067.198.228.469
28;1508;OCCIDENTE;15;393.057.990.486.328;570.260.117.998.015
29;1509;ORIENTE;15;512.065.863.504.883;140.293.441.061.342
30;1510;RICAURTE;15;155.077.185.942.969;26.752.115.931.287
31;1511;SUGAMUXI;15;248.007.807.982.617;325.514.884.492.262
32;1512;TUNDAMA;15;121.319.439.918.213;264.334.440.448.886
33;1513;VALDERRAMA;15;203.095.267.488.281;286.974.267.528.012
34;1701;ALTO OCCIDENTE;17;839.194.261.763.184;172.663.705.351.333
35;1702;ALTO ORIENTE;17;118.005.541.446.777;23.427.821.064.681
36;1703;BAJO OCCIDENTE;17;594.363.078.018.555;151.158.386.265.607
37;1704;CENTRO;17;15.094.372.434.458;229.592.201.323.424
38;1705;ORIENTE;17;213.267.134.295.508;24.948.001.650.213
39;1706;NORTE;17;129.430.217.636.377;219.739.238.595.716
40;1800;CAQUETÁ;18;907.131.980.059.703;237.217.300.850.172
41;1901;CENTRO;19;55.930.048.317.583;503.314.526.107.735
42;1902;NORTE;19;250.440.221.501.025;414.464.286.523.857
43;1903;OCCIDENTE;19;804.410.011.411.633;598.684.360.747.335
44;1904;ORIENTE;19;571.844.008.936.292;518.570.761.159.242
45;1905;SUR ;19;958.205.904.910.815;814.561.666.158.861
46;2001;CENTRAL;20;665.657.771.067.529;588.479.710.390.064
47;2002;NOROCCIDENTAL;20;310.303.436.499.316;521.862.597.359.298
48;2003;NORTE;20;88.821.569.957.832;584.547.800.414.646
49;2004;SUR ;20;472.555.738.584.521;525.476.181.148.621
50;2301;ALTO SINÚ;23;598.522.938.465.967;405.275.584.960.892
51;2302;BAJO SINÚ;23;170.675.262.402.197;310.719.643.484.238
52;2303;CENTRO;23;32.409.935.939.502;406.958.016.751.807
53;2304;COSTANERA;23;198.679.040.206.543;475.472.558.060.104
54;2305;SABANAS;23;193.327.755.650.635;320.612.067.519.694
55;2306;SAN JORGE;23;895.908.177.434.131;636.807.017.815.239
56;2307;SINÚ MEDIO;23;187.619.988.900.586;416.939.059.438.186
57;2501;ALMEIDAS;25;125.159.242.002.295;193.843.085.324.888
58;2502;ALTO MAGDALENA;25;119.763.793.746.338;209.687.613.660.679
59;2503;BAJO MAGDALENA;25;191.842.858.628.711;301.466.536.049.514
60;2504;GUALIVÁ;25;129.854.123.476.025;198.972.049.671.678
61;2505;GUAVIO;25;259.042.352.625.757;315.357.016.994.098
62;2506;MAGDALENA CENTRO;25;106.615.411.975.903;200.209.650.365.713
63;2507;MEDINA;25;210.975.773.668.164;233.569.717.055.875
64;2508;ORIENTE;25;220.771.070.219.043;279.760.975.248.097
65;2509;RIO NEGRO;25;239.143.652.250.049;372.977.924.983.826
66;2510;SABANA CENTRO;25;870.973.808.890.137;17.083.360.296.807
67;2511;SABANA OCCIDENTE;25;108.816.364.817.383;2.210.590.568.832
68;2512;SOACHA;25;313.666.954.547.363;998.974.413.234.981
69;2513;SUMAPAZ;25;179.793.018.876.489;275.715.486.226.192
70;2514;TEQUENDAMA;25;116.977.805.444.165;194.203.316.007.704
71;2515;UBATÉ;25;140.401.242.276.367;221.997.260.639.681
72;2701;ATRATO;27;127.382.203.917.524;835.024.660.728.505
73;2702;DARIEN;27;128.687.618.298.379;95.376.057.644.642
74;2703;PACÍFICO NORTE;27;290.578.265.298.486;92.811.400.126.249
75;2704;PACÍFICO SUR;27;111.694.214.826.855;104.983.690.218.337
76;2705;SAN JUAN;27;924.733.637.666.846;641.456.841.406.247
77;4101;CENTRO;41;282.043.181.992.041;332.468.976.049.132
78;4102;NORTE;41;947.319.171.002.173;756.828.843.849.553
79;4103;OCCIDENTE;41;196.748.249.037.488;344.766.597.963.124
80;4104;SUR;41;402.178.543.176.355;366.886.298.217.748
81;4401;NORTE;44;174.512.475.638.545;108.682.863.130.387
82;4402;SUR;44;413.120.156.395.898;405.119.139.964.978
83;4701;SANTA MARTA;47;245.381.595.169.336;327.336.802.190.254
84;4702;CENTRO;47;590.892.721.959.375;509.072.385.145.974
85;4703;NORTE;47;607.950.611.257.324;490.341.719.594.098
86;4704;RIO;47;509.485.806.655.273;448.034.389.134.125
87;4705;SUR;47;450.928.829.472.705;523.118.734.284.348
88;5001;ARIARI;50;475.411.572.168.226;190.321.445.725.682
89;5002;CAPITAL;50;132.681.104.341.211;228.784.364.498.289
90;5003;PIEDEMONTE;50;12.185.682.020.634;140.350.829.127.627
91;5004;RÍO META;50;253.177.207.775.525;119.670.495.274.925
92;5201;CENTRO;52;232.689.831.622.253;288.447.776.351.496
93;5202;CENTRO OCCIDENTE;52;474.459.765.668.488;477.093.433.647.464
94;5203;COSTA;52;160.642.016.405.502;100.246.706.010.666
95;5204;NORTE;52;387.906.129.900.146;480.408.043.105.248
96;5205;SUR;52;456.862.199.039.227;497.779.748.500.964
97;5401;CENTRO;54;218.903.450.928.564;300.489.355.417.038
98;5402;NORTE;54;525.711.343.009.375;465.950.825.977.308
99;5403;OCCIDENTE;54;803.380.839.311.865;805.657.476.628.963
100;5404;ORIENTE;54;210.585.424.275.928;340.920.429.764.935
101;5405;SUR OCCIDENTE;54;232.019.251.960.986;308.804.913.886.653
102;5406;SUR ORIENTE;54;250.795.375.488.232;386.309.583.061.796
103;6301;CAPITAL;63;379.966.402.903.809;131.089.216.914.295
104;6302;CORDILLERANOS;63;647.600.108.123.779;13.553.081.849.983
105;6303;FRIA;63;456.454.679.636.475;156.513.106.578.472
106;6304;NORTE;63;92.615.716.623.291;567.915.476.825.886
107;6305;VALLE;63;378.666.011.515.381;14.142.591.621.128
108;6601;VERTIENTE ORIENTAL;66;142.487.908.562.256;236.328.696.710.729
109;6602;VERTIENTE OCCIDENTAL;66;988.260.712.571.289;238.583.006.699.888
110;6603;VERTIENTE DEL PACÍFICO;66;119.578.864.152.783;174.501.222.931.623
111;6801;COMUNERA;68;377.601.445.172.998;625.724.894.528.344
112;6802;GARCÍA-ROVIRA;68;240.355.814.979.053;265.088.579.113.842
113;6803;GUANENTÁ;68;376.874.994.555.225;33.003.920.515.578
114;6804;MARES;68;721.744.699.451.074;740.969.347.640.453
115;6805;SOTO;68;524.520.696.653.174;525.705.291.148.856
116;6806;VÉLEZ;68;876.873.158.078.076;590.220.698.573.512
117;7001;LA MOJANA;70;239.499.339.165.283;307.074.334.098.173
118;7002;MONTES DE MARÍA;70;115.607.094.350.195;311.953.708.807.263
119;7003;MORROSQUILLO;70;194.446.857.360.693;364.752.071.654.164
120;7004;SABANAS;70;223.155.914.285.742;328.509.388.580.462
121;7005;SAN JORGE;70;333.086.102.561.426;36.817.110.828.781
122;7301;IBAGUE;73;511.901.390.701.538;450.669.624.327.458
123;7302;NEVADOS;73;240.160.275.121.191;312.105.190.957.471
124;7303;NORTE;73;176.604.777.116.138;285.576.978.048.723
125;7304;ORIENTE;73;15.657.887.002.146;216.656.634.819.415
126;7305;SUR;73;106.654.476.724.436;618.950.599.466.151
127;7306;SURORIENTE;73;290.394.678.458.179;468.996.336.154.929
128;7601;CENTRO;76;52.436.396.834.895;455.850.839.418.678
129;7602;NORTE;76;375.254.054.747.314;433.263.951.096.125
130;7603;OCCIDENTE;76;632.834.222.994.287;70.363.157.922.851
131;7604;ORIENTE;76;714.358.227.232.178;188.823.108.062.703
132;7605;SUR;76;481.043.391.414.185;566.858.542.140.443
133;8100;ARAUCA;81;242.200.222.045.864;100.323.297.563.123
134;8500;CASANARE;85;449.681.713.856.875;133.589.983.079.823
135;8600;PUTUMAYO;86;26.124.248.804.473;141.014.671.424.376
136;8800;ARCHIPIELAGO DE SAN ANDRÉS;88;517.921.615.488.281;737.077.157.659.385
137;9100;AMAZONAS;91;110.063.561.968.568;285.019.544.856.845
138;9401;GUAINÍA;94;71.499.038.963.459;22.373.876.341.665
139;9500;GUAVIARE;95;559.438.508.754.769;215.928.843.476.093
140;9700;VAUPÉS;97;534.561.540.751.312;223.855.425.931.643
141;9900;VICHADA;99;100.760.093.251.139;192.389.026.395.507
