num_prov;prov
501;BAJO CAUCA
502;MAGDALENA MEDIO
503;NORDESTE
504;NORTE
505;OCCIDENTE
506;ORIENTE
507;SUROESTE
508;URABÁ
509;VALLE DEL ABURRÁ
801;CENTRO ORIENTE
802;NORTE
803;OCCIDENTAL
804;SUR
1101;BOGOTÁ, D. C.
1301;DEPRESIÓN MOMPOSINA
1302;DIQUE BOLIVARENSE
1303;LOBA
1304;MAGDALENA MEDIO BOLIVARENSE
1305;MOJANA BOLIVARENSE
1306;MONTES DE MARÍA
1501;CENTRO
1502;GUTIÉRREZ
1503;LA LIBERTAD
1504;LENGUPÁ
1505;MÁRQUEZ
1506;NEIRA
1507;NORTE
1508;OCCIDENTE
1509;ORIENTE
1510;RICAURTE
1511;SUGAMUXI
1512;TUNDAMA
1513;VALDERRAMA
1701;ALTO OCCIDENTE
1702;ALTO ORIENTE
1703;BAJO OCCIDENTE
1704;CENTRO
1705;ORIENTE
1706;NORTE
1800;CAQUETÁ
1901;CENTRO
1902;NORTE
1903;OCCIDENTE
1904;ORIENTE
1905;SUR 
2001;CENTRAL
2002;NOROCCIDENTAL
2003;NORTE
2004;SUR 
2301;ALTO SINÚ
2302;BAJO SINÚ
2303;CENTRO
2304;COSTANERA
2305;SABANAS
2306;SAN JORGE
2307;SINÚ MEDIO
2501;ALMEIDAS
2502;ALTO MAGDALENA
2503;BAJO MAGDALENA
2504;GUALIVÁ
2505;GUAVIO
2506;MAGDALENA CENTRO
2507;MEDINA
2508;ORIENTE
2509;RIO NEGRO
2510;SABANA CENTRO
2511;SABANA OCCIDENTE
2512;SOACHA
2513;SUMAPAZ
2514;TEQUENDAMA
2515;UBATÉ
2701;ATRATO
2702;DARIEN
2703;PACÍFICO NORTE
2704;PACÍFICO SUR
2705;SAN JUAN
4101;CENTRO
4102;NORTE
4103;OCCIDENTE
4104;SUR
4401;NORTE
4402;SUR
4701;SANTA MARTA
4702;CENTRO
4703;NORTE
4704;RIO
4705;SUR
5001;ARIARI
5002;CAPITAL
5003;PIEDEMONTE
5004;RÍO META
5201;CENTRO
5202;CENTRO OCCIDENTE
5203;COSTA
5204;NORTE
5205;SUR
5401;CENTRO
5402;NORTE
5403;OCCIDENTE
5404;ORIENTE
5405;SUR OCCIDENTE
5406;SUR ORIENTE
6301;CAPITAL
6302;CORDILLERANOS
6303;FRIA
6304;NORTE
6305;VALLE
6601;VERTIENTE ORIENTAL
6602;VERTIENTE OCCIDENTAL
6603;VERTIENTE DEL PACÍFICO
6801;COMUNERA
6802;GARCÍA-ROVIRA
6803;GUANENTÁ
6804;MARES
6805;SOTO
6806;VÉLEZ
7001;LA MOJANA
7002;MONTES DE MARÍA
7003;MORROSQUILLO
7004;SABANAS
7005;SAN JORGE
7301;IBAGUE
7302;NEVADOS
7303;NORTE
7304;ORIENTE
7305;SUR
7306;SURORIENTE
7601;CENTRO
7602;NORTE
7603;OCCIDENTE
7604;ORIENTE
7605;SUR
8100;ARAUCA
8500;CASANARE
8600;PUTUMAYO
8800;ARCHIPIELAGO DE SAN ANDRÉS
9100;AMAZONAS
9401;GUAINÍA
9500;GUAVIARE
9700;VAUPÉS
9900;VICHADA
